Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=9b864bc448f90755,[Lionbridge] Korean Editor,서울 마포구,,need... living within commuting distance from Seoul. Long- term and regular commitment to our localization projects...
https://kr.indeed.com/viewjob?jk=3569cddb459c3fb8,"Partner Technology Manager, YouTube (English, Korean)",서울,,"handle integrations to build strong, successful, long- term partnerships. YouTube has grown... community used by people..."
https://kr.indeed.com/viewjob?jk=83029b1b80555276,"Technology Operations, Analyst",서울,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
https://kr.indeed.com/viewjob?jk=67065a8bb780ba5c,Korea - Nike Stores Partnered (NSP) Partner Lead,서울,,"development... partner’s seasonal, annual and long term plans based on an understanding... partner’s consumer base..."
https://kr.indeed.com/viewjob?jk=5d723c0e5fad8633,Cybersecurity Consultant,서울,,"support our customers to transition and realize... long- term strategic goals sustainably, and collectively contributing..."
https://kr.indeed.com/viewjob?jk=40e561ebfef9367e,L.E.A.D in Maersk Korea,서울,,together with others. • Strong desire to pursue a long- term career in transport and logistics. • You... an excellent...
https://kr.indeed.com/viewjob?jk=62c3de9f3d380857,DC Professional - Fashion&WFJ (Supply Chain),경기도,,"related to all Office requests (staff purchase, long term service award, gift etc. - Perform all tasks associated..."
https://kr.indeed.com/viewjob?jk=af7ba61267d2f62a,Master Production Scheduler,경기도,,Support weekly schedule to ensure short- term manufacturing needs are agreed... Immediate and Long- Term Priorities...
https://kr.indeed.com/viewjob?jk=25320dd85f187588,M&A Specialist Generalist,서울 강남구,,"RiiidCollaborate with internal teams to assist in long- term financial planning, assessment of financial results, and creation..."
https://kr.indeed.com/viewjob?jk=31ee06f6446bb1fa,"Prin, IM/Trading",서울,,surplus liquidity by deploying liquidity in suitable short term money market instruments including interbank placements...
https://kr.indeed.com/viewjob?jk=e9595a3be4c1c225,Sales Year-Round Internship (Rolling Basis),서울,,leading brands? Are you intrigued... idea of building long- term business relationships with our customers? Would you like...
https://kr.indeed.com/viewjob?jk=69b2c7a65a0262c3,"Technical Solutions Consultant, Wear OS (Korean)",서울,,"manage the overall technical aspects to build successful, long- term partnerships. You will have the opportunity to drive..."
https://kr.indeed.com/viewjob?jk=4c7e35d6d0881e72,Site Specialist North East Asia,서울 강남구,,"group – short and long term. Responsible... customer satisfaction, short and long- term. Daily optimization and evaluation..."
https://kr.indeed.com/viewjob?jk=05d5b7772867cd96,[Medical Devices] Commercial Data Analyst,서울,,존슨앤드존슨 메디칼 (Medical Devices) 3. 근무지: 서울시 용산구 4. 근무 형태: Fixed Term [Responsibilities] 1. Business Analytics - Provide market...
https://kr.indeed.com/viewjob?jk=d2a9bbffceb17204,Laundry & Home Care R&D Intern One year,서울 강남구,,"JOB ID: 21026917 Contract & Job type: Full Time, Limited Term Contact information for application-related questions..."
https://kr.indeed.com/viewjob?jk=9f2faf053eaef7c2,Sales Associate (현대 판교),경기도,,mindset is core to our business and key to our long- term success. JOB PURPOSE 개인 및 매장 판매 목표를 초과 달성하기 위해 노력하고 소매점 주도 성장의 주요...
https://kr.indeed.com/viewjob?jk=4de4e32f742a8fa7,"Specialist, Biopharma Sales (1-yr fixed term)",서울,,"current and future business, and responds proactively to secure long term business performance, presenting the business plan..."
https://kr.indeed.com/viewjob?jk=7b3479790d7b1cf9,Esports Sales Manager - APAC,서울 강남구,,Sales & Business Development (L+) Type of contract Fixed- term contract Contract start date 1 April 2022 Position...
https://kr.indeed.com/viewjob?jk=307aa0866d7028d0,SSP(Hybrid Cloud),서울,,programs and commercial buying programs to build long- term strategic relationships with customers Produce referenceable...
https://kr.indeed.com/viewjob?jk=157a26a8ed4cc067,Consumer Services Operation Manager - Korea,서울,,way to CS vendors. WHAT WILL YOU WORK... Develop long- term strategies for Contact centers and opportunities to improve...
https://kr.indeed.com/viewjob?jk=a879685f56fdebcd,Business Development Manager - Gaming,서울,,"organizations and influencer groups, working to drive long- term adoption and set growth strategies for our partners. Ideal..."
https://kr.indeed.com/viewjob?jk=59bd3a764f40f010,Customer Service & Logistics Specialist,경기도,,Innovative Business Improvements Balances Immediate and Long- Term Priorities Delivers Results Imports and Exports Goods ideas...
https://kr.indeed.com/viewjob?jk=b4153d182478e31f,Service Technician,전라남도,,"global culture, competitive compensation package and long- term career development. Choose us, choose a brilliant future..."
https://kr.indeed.com/viewjob?jk=8b182d5c3976c3e1,"Strategic Partnerships Development Manager, Media and Entert...",서울,,"through monetization solutions, to helping our long- term partners anticipate and navigate change in a way that delivers..."
